incorrect_text,correct_text,error_type,error_location,explanation,difficulty_level
壊れにくい,壊れにくい,grammar,壊れにくい,Correct usage of verb stem + にくい (hard to do).,beginner
お茶でも飲みませんか,お茶でもいかがですか,politeness,飲みませんか,いかがですか is a more polite and formal invitation.,intermediate
田中とか鈴木とか,田中様や鈴木様など,politeness,とか,Using とか is too casual for listing names in a formal context.,intermediate
日本について、話してください,日本についてお話しいただけますか,politeness,話してください,A more polite way to request someone to speak.,intermediate
ペンか何か貸して,ペンか何かお貸しいただけますか,politeness,貸して,A more polite way to ask to borrow something.,intermediate
明日しか時間がない,明日は時間がありません,negation,しか,The phrase XしかYない means 'only X exists' or 'have nothing but X'. A simpler sentence is often better. This correction changes the nuance slightly.,intermediate
泣くことはない,泣く必要はありません,expression,ことはない,ことはない means 'there is no need to'. The correction is a more direct and polite way of saying the same thing.,intermediate
言うまでもない,言うまでもありません,politeness,ない,Adding ありません makes the expression more polite.,beginner
彼は来るわけがない,彼が来るわけがありません,politeness,ない,Polite form.,beginner
待っているうちに、眠くなった,待っている間に、眠くなった,expression,うちに,間に refers to a span of time during which something happens. うちに often implies a change that happens during a continuous state. Both can be correct but 間に is common here.,advanced
ご飯を食べている最中に、電話が鳴った,ご飯を食べている最中に、電話が鳴った,expression,最中に,Correct usage. 最中 (さいちゅう) emphasizes that something happened right in the middle of an action.,intermediate
日本にいる限り、日本語を話す,日本にいる限りは、日本語を話します,particle_error,限り,Adding the particle は adds emphasis and makes the sentence flow better. Using polite form is also good.,intermediate
私が知る限りでは、彼は来ない,私の知る限りでは、彼は来ません,politeness,来ない,Polite form.,beginner
子供に限って、いたずらをする,子供に限って、いたずらをするものです,expression,する,Adding ものです expresses that this is a general truth or tendency.,advanced
今日に限って、傘を忘れた,今日に限って傘を忘れた,punctuation_error,",",The comma is unnecessary.,beginner
この店は、学生に限り、１０％割引,この店は学生に限り、１０％割引です,sentence_structure,割引,Ending with です completes the sentence.,beginner
大阪といえば、たこ焼きだ,大阪といえば、たこ焼きですね,politeness,だ,ですね is more conversational and polite.,beginner
彼は来るとか,彼が来ると聞きました,ambiguity,とか,とか at the end of a sentence implies hearsay and is very colloquial. A clearer sentence is better.,intermediate
お金をためるために、働く,お金をためるために働く,punctuation_error,",",The comma is not needed.,beginner
これは日本の車です。そして、あれはドイツの車です,これは日本の車で、あれはドイツの車です,conjunctions,そして,Using the te-form (で) is a more concise way to connect the two sentences.,intermediate
彼は金持ちだ。その上、ハンサムだ,彼は金持ちな上に、ハンサムです,politeness,だ,な上に is the correct form for na-adjectives/nouns. Using です makes it polite.,intermediate
調査した結果、問題はなかった,調査した結果、問題はありませんでした,politeness,なかった,Polite past tense.,beginner
手紙の代わりに、メールを送った,手紙の代わりにメールを送った,punctuation_error,",",No comma needed.,beginner
山田さんは、田中さんほど背が高くない,山田さんは田中さんほど背が高くありません,politeness,高くない,Polite negative form.,beginner
歩くぐらいなら、自転車で行く,歩くぐらいなら自転車で行きます,politeness,行く,Polite form.,beginner
あなたぐらい、親切な人はいない,あなたほど親切な人はいません,word_choice,ぐらい,ほど is more common in this pattern (XほどYなZはいない - There is no Z as Y as X). Polite form is also used.,intermediate
彼くらい、日本語が上手な人はいない,彼ほど日本語が上手な人はいません,word_choice,くらい,"Same as above, ほど is standard. Polite form.",intermediate
若い人ほど、よくスマホを使う,若い人ほど、よくスマホを使います,politeness,使う,Polite form.,beginner
心配することはない,心配することはありません,politeness,ない,Polite form.,beginner
彼は謝るどころか、怒り出した,彼は謝るどころか、怒り出しました,politeness,怒り出した,Polite form.,beginner
忙しいどころではない,忙しいどころではありません,politeness,ではない,Polite form.,beginner
勉強しているふりをする,勉強しているふりをします,politeness,する,Polite form.,beginner
彼は病気だとみえて、顔色が悪い,彼は病気だとみえて、顔色が悪いです,politeness,悪い,Polite form.,beginner
また来るように、言われた,また来るように言われました,politeness,言われた,Polite form.,beginner
早く起きようとしたが、起きられなかった,早く起きようとしましたが、起きられませんでした,politeness,したが、なかった,Polite form.,beginner
このお菓子は、ケーキみたいな味がする,このお菓子は、ケーキのような味がします,expression,みたいな,のような is more formal than みたいな. Polite form is also used.,intermediate
彼は、来ないかもしれない,彼は来ないかもしれません,politeness,ない,かもしれません is the polite form.,beginner
日本の生活に、慣れつつある,日本の生活に慣れつつあります,politeness,ある,Polite form.,beginner
テレビを見つつ、勉強する,テレビを見ながら、勉強します,word_choice,つつ,ながら is more common for simultaneous actions in everyday speech. つつ is more for written/formal language. Polite form is also used.,intermediate
悪いと知りつつ、やってしまった,悪いと知りながら、やってしまいました,word_choice,つつ,ながら is also common here. Polite form.,intermediate
体は、運動不足ぎみだ,体は運動不足ぎみです,sentence_structure,だ,Ending with です is more polite.,beginner
彼は、最近、太りぎみだ,彼は最近、太りぎみです,politeness,だ,Polite form.,beginner
風邪ぎみで、頭が痛い,風邪ぎみで、頭が痛いです,politeness,痛い,Polite form.,beginner
この時計は、遅れがちだ,この時計は、遅れがちです,politeness,だ,Polite form.,beginner
雨が、やんだとたん、晴れてきた,雨がやんだとたん、晴れてきました,politeness,晴れてきた,Polite form.,beginner
彼は、ドアを開けたとたん、倒れた,彼はドアを開けたとたん、倒れました,politeness,倒れた,Polite form.,beginner
彼は、起きるなり、叫んだ,彼は起きるなり、叫びました,politeness,叫んだ,Polite form.,beginner
社長は、部屋に入るなり、大声で怒鳴った,社長は部屋に入るなり、大声で怒鳴りました,politeness,怒鳴った,Polite form.,beginner
彼は、疲れているとみえて、元気がない,彼は疲れているとみえて、元気がありません,politeness,ない,Polite form.,beginner
彼女は、忙しいとみえて、電話に出ない,彼女は忙しいとみえて、電話に出ません,politeness,出ない,Polite form.,beginner
父が、帰ってきたかと思うと、もう出かけていた,父が帰ってきたかと思うと、もう出かけていました,politeness,いた,Polite form.,beginner
彼は、椅子に座ったかと思うと、もう寝ていた,彼は椅子に座ったかと思うと、もう寝ていました,politeness,いた,Polite form.,beginner
子供が、生まれたかと思えば、もう歩き始めた,子供が生まれたかと思えば、もう歩き始めました,politeness,始めた,Polite form.,beginner
この店は、安いかと思えば、高いものもある,この店は安いかと思えば、高いものもあります,politeness,ある,Polite form.,beginner
この仕事は、大変な一方で、やりがいがある,この仕事は大変な一方で、やりがいがあります,politeness,ある,Polite form.,beginner
彼は、優しい一方で、厳しいところもある,彼は優しい一方で、厳しいところもあります,politeness,ある,Polite form.,beginner
会議は、長引く一方だ,会議は長引く一方です,politeness,だ,Polite form.,beginner
人口は、減る一方だ,人口は減る一方です,politeness,だ,Polite form.,beginner
彼は、ますます、日本語が上手になるばかりだ,彼はますます日本語が上手になるばかりです,politeness,だ,Polite form.,beginner
状況は、悪化するばかりだ,状況は悪化するばかりです,politeness,だ,Polite form.,beginner
彼は、大学を卒業した上で、就職した,彼は大学を卒業した上で、就職しました,politeness,就職した,Polite form.,beginner
よく考えた上で、決める,よく考えた上で、決めます,politeness,決める,Polite form.,beginner
説明書を、読んだ上で、使ってください,説明書を読んだ上で、使ってください,punctuation_error,",",The comma is unnecessary.,beginner
先生に、相談した上で、決めた,先生に相談した上で、決めました,politeness,決めた,Polite form.,beginner
彼は、電話で、話すうちに、元気になった,彼は電話で話すうちに、元気になりました,politeness,なった,Polite form.,beginner
何回も、聞くうちに、覚えた,何回も聞くうちに、覚えました,politeness,覚えた,Polite form.,beginner
彼は、お金持ちなばかりか、性格もいい,彼はお金持ちなばかりか、性格もいいです,politeness,いい,Polite form.,beginner
このレストランは、美味しいばかりか、値段も安い,このレストランは美味しいばかりか、値段も安いです,politeness,安い,Polite form.,beginner
彼は、来るはずがない,彼が来るはずがありません,politeness,ない,Polite form.,beginner
そんな、わけがない,そんなわけがありません,politeness,ない,Polite form.,beginner
静かな、わけではない,静かなわけではありません,politeness,ではない,Polite form.,beginner
嫌いな、わけじゃない,嫌いなわけじゃありません,politeness,じゃない,じゃありません is the polite form of じゃない.,beginner
行く、しかない,行くしかありません,politeness,ない,Polite form.,beginner
やる、しかない,やるしかありません,politeness,ない,Polite form.,beginner
彼は、「来週、行く」と言っていた,彼は「来週行く」と言っていました,punctuation_error,",",Commas are not typically used inside quotes in this manner in Japanese. Polite form is also better.,intermediate
私は、彼に、「早く来て」と頼んだ,私は彼に「早く来て」と頼みました,punctuation_error,",",No comma is needed before the quote. Polite form is also better.,intermediate
『羅生門』は、芥川龍之介の小説だ,『羅生門』は芥川龍之介の小説です,politeness,だ,"Polite form is です. Also, book titles use 『』.",beginner
魚が好きだ、と言っても、毎日じゃない,魚が好きだと言っても、毎日じゃありません,politeness,じゃない,Polite form.,beginner
暑い、と言っても、まだ６月だ,暑いと言っても、まだ６月です,politeness,だ,Polite form.,beginner
天気予報に、よると、明日は晴れだ,天気予報によると、明日は晴れだそうです,expression,だ,Adding そうです (I hear) makes it clear the information is from the weather forecast.,intermediate
彼の話に、よれば、彼は先生だ,彼の話によれば、彼は先生だそうです,expression,だ,"Same as above, そうです indicates hearsay.",intermediate
部長の、命令で、出張した,部長の命令で、出張しました,politeness,出張した,Polite form.,beginner
彼は、ビールしか、飲まない,彼はビールしか飲みません,politeness,飲まない,Polite form.,beginner
千円しか、持っていない,千円しか持っていません,politeness,持っていない,Polite form.,beginner
東京を、始め、日本の大都市では,東京を始め、日本の大都市では,punctuation_error,",",No comma after を.,beginner
彼を、めぐって、二人が争った,彼をめぐって、二人が争いました,politeness,争った,Polite form.,beginner
この問題を、めぐる、議論,この問題をめぐる議論,punctuation_error,",",No commas needed when used as a relative clause.,beginner
子供に、おける、問題,子供における問題,punctuation_error,",",No commas needed.,beginner
現代社会に、おいて、それは重要だ,現代社会において、それは重要です,politeness,だ,Polite form.,beginner
大阪に、於て、会議が開かれた,大阪に於て、会議が開かれました,politeness,開かれた,於て is a very formal/archaic version of おいて. Polite form is also needed.,advanced
彼は、先生としても、尊敬されている,彼は先生としても、尊敬されています,politeness,されている,Polite form.,beginner
人間としても、許せない,人間としても、許せません,politeness,許せない,Polite form.,beginner
雨天に、つき、中止します,雨天につき、中止します,punctuation_error,",",No comma after に. つき is a formal particle meaning 'due to'.,intermediate
彼は、努力したにもかかわらず、失敗した,彼は努力したにもかかわらず、失敗しました,politeness,失敗した,Polite form.,beginner
約束したにもかかわらず、彼は来なかった,約束したにもかかわらず、彼は来ませんでした,politeness,来なかった,Polite form.,beginner
この経験は、私にとって、大切だ,この経験は私にとって、大切です,politeness,だ,Polite form.,beginner
あなたに、とっては、簡単かもしれない,あなたにとっては、簡単かもしれません,politeness,かもしれない,Polite form.,beginner
年齢に、ともなって、体力が落ちる,年齢にともなって、体力が落ちます,politeness,落ちる,Polite form.,beginner
経済の、発展にともない、問題も起きた,経済の発展にともない、問題も起きました,politeness,起きた,ともない is a more formal version of ともなって. Polite form is also needed.,intermediate
彼は、日本語が、上手なあまり、日本人と間違えられた,彼は日本語が上手なあまり、日本人と間違えられました,politeness,間違えられた,Polite form.,beginner
心配するあまり、眠れなくなった,心配するあまり、眠れなくなりました,politeness,眠れなくなった,Polite form.,beginner
法律に、基づいて、判断する,法律に基づいて、判断します,politeness,判断する,Polite form.,beginner
事実にもとづき、小説を書いた,事実にもとづき、小説を書きました,politeness,書いた,Polite form.,beginner
この映画は、事実をもとに、作られた,この映画は事実をもとに、作られました,politeness,作られた,Polite form.,beginner
失敗を、もとにして、成功した,失敗をもとにして、成功しました,politeness,成功した,Polite form.,beginner
子供の、くせに、大人のようなことを言う,子供のくせに、大人のようなことを言います,politeness,言う,Polite form. くせに has a strong sense of criticism.,intermediate
知らない、くせに、知っているふりをする,知らないくせに、知っているふりをします,politeness,する,Polite form.,intermediate
彼は、来るか来ないかのうちに、もう帰ってしまった,彼は来るか来ないかのうちに、もう帰ってしまいました,politeness,しまった,Polite form. This phrase expresses that something happened almost immediately.,advanced
電車が、着くか着かないかのうちに、ドアが開いた,電車が着くか着かないかのうちに、ドアが開きました,politeness,開いた,Polite form.,advanced
彼は、きのう、ここに来た,彼は昨日、ここに来ました,character_error,きのう,昨日 is usually written in Kanji. Polite form is also better.,beginner
わたしは、本をよむ,私は本を読みます,character_error,"わたし, よむ",私 and 読む are standard Kanji. Polite form is also better.,beginner
さかなは、おいしい,魚は美味しいです,character_error,"さかな, おいしい",Nouns and common adjectives are typically in Kanji. Polite form is also better.,beginner
でんしゃで行く,電車で行きます,character_error,でんしゃ,電車 is a common word written in Kanji. Polite form is also better.,beginner
えいがを見る,映画を見ます,character_error,えいが,映画 is a common word written in Kanji. Polite form is also better.,beginner
アグレッシブな人,積極的な人,loan_word,アグレッシブ,積極的 is the native Japanese equivalent for 'aggressive' or 'proactive'.,intermediate
モチベーションが上がらない,やる気が出ない,loan_word,モチベーション,"やる気 is the common, native Japanese word for 'motivation'.",beginner
このプランをレビューしてください,この計画を検討してください,loan_word,レビュー,検討 is the native word for 'review' or 'consideration' in a business context.,intermediate
タスクをアサインする,タスクを割り当てる,loan_word,アサイン,割り当てる is the native Japanese verb for 'to assign'.,intermediate
イシューを解決する,問題を解決する,loan_word,イシュー,問題 is the general native Japanese word for 'issue' or 'problem'.,intermediate
彼の意見にアグリーです,彼の意見に賛成です,loan_word,アグリー,賛成 is the native Japanese word for 'agree'.,beginner
このマシーンは、便利だ,この機械は便利です,loan_word,マシーン,機械 (kikai) is the native Japanese word for 'machine'. Polite form is also better.,beginner
今日のミーティング,今日の会議,loan_word,ミーティング,会議 (kaigi) is the native Japanese word for 'meeting'.,beginner
ホテルをキャンセルした,ホテルを予約取消した,loan_word,キャンセル,"予約取消 (yoyaku torikeshi) is the more formal, native term for 'cancellation'.",intermediate
プレゼントをゲットした,プレゼントをもらいました,loan_word,ゲット,もらう (or いただく in humble form) is the native verb for 'to get' or 'receive'.,beginner
彼はチームのキーマンだ,彼はチームの重要人物だ,loan_word,キーマン,重要人物 (juuyou jinbutsu) is the native term for a 'key person'.,intermediate
彼はナイスガイだ,彼はいい人です,loan_word,ナイスガイ,いい人 (ii hito) is the simple native way to say 'nice guy'.,beginner
このデザインはシンプルだ,このデザインは簡素です,loan_word,シンプル,"簡素 (kanso) is a native word for 'simple', often with a nuance of plainness.",intermediate
グローバルな視点,国際的な視点,loan_word,グローバル,国際的 (kokusaiteki) is the native adjectival noun for 'global' or 'international'.,intermediate
彼はプロフェッショナルだ,彼は専門家です,loan_word,プロフェッショナル,専門家 (senmonka) is the native word for 'professional' or 'specialist'.,intermediate
このプロジェクトは、ペンディングです,このプロジェクトは保留です,loan_word,ペンディング,保留 (horyuu) is the native Japanese word for 'pending' or 'on hold'.,beginner
エビデンスはありますか,証拠はありますか,loan_word,エビデンス,証拠 (shouko) is the native Japanese word for 'evidence'.,intermediate
この件、FIXですか,この件は確定ですか,loan_word,FIX,確定 (kakutei) is the native Japanese word for 'fixed' or 'confirmed'.,intermediate
彼は、上司に、ほうれんそうを、怠った,彼は上司への報連相を怠った,business_japanese,ほうれんそう,報連相 (報告・連絡・相談) is a key business concept. The particles and commas are unnatural.,advanced
議事録を作成いただけますか,議事録を作成していただけますか,grammar,いただけますか,The te-form of the verb is required before いただけますか.,intermediate
お世話様です,お世話になっております,business_japanese,お世話様です,お世話になっております is the standard polite greeting in business emails and calls.,beginner
弊社にご来社ください,弊社にお越しください,business_japanese,ご来社ください,お越しください is a more polite and common honorific expression than ご来社ください.,advanced
部長が申されたこと,部長がおっしゃったこと,honorifics,申された,申す is humble (for oneself). おっしゃる is honorific (for others).,intermediate
私が資料をご説明します,私が資料を説明いたします,honorifics,ご説明します,説明いたします is the standard humble form for one's own actions.,intermediate
受付で、伺ってください,受付でお尋ねください,honorifics,伺って,伺う is humble (for oneself). お尋ねください is honorific (for others).,intermediate
社長は、ゴルフを、なさいますか,社長はゴルフをなさいますか,punctuation_error,",",Commas are unnecessary.,beginner
このメールを、ご返信ください,このメールにご返信ください,particle_error,を,"The particle should be に, indicating the target of the reply.",beginner
データは、添付の、通りです,データは添付の通りです,punctuation_error,",",Commas are unnecessary.,beginner
ご確認のほど、よろしくお願いします,ご確認のほど、よろしくお願い申し上げます,business_japanese,お願いします,お願い申し上げます is a more formal and humble closing.,advanced
取り急ぎ、ご報告まで,取り急ぎ、ご報告申し上げます,business_japanese,まで,Ending with 〜まで is abrupt. ご報告申し上げます is a complete and humble sentence.,intermediate
来週の、月曜日は、どうですか,来週の月曜日は、いかがでしょうか,politeness,どうですか,いかがでしょうか is a more polite way to ask 'how about'.,intermediate
電話が、遠いようです,お電話が遠いようです,honorifics,電話,Adding the honorific お shows respect to the other person.,beginner
担当の、山田です,担当の山田でございます,politeness,です,でございます is more formal and appropriate in business introductions.,intermediate
以上、よろしくお願いします,以上、よろしくお願い申し上げます,politeness,お願いします,More formal and humble.,advanced
先日、言った件,先日、お話しした件,honorifics,言った,お話しした is more polite and appropriate when referring to a past conversation in business.,intermediate
彼は、まだ、学生のようです,彼はまだ学生のようです,punctuation_error,",",Commas are unnecessary.,beginner
まるで、夢の、ようだ,まるで夢のようだ,punctuation_error,",",Commas are unnecessary.,beginner
彼は、まるで、子供みたいだ,彼はまるで子供みたいです,politeness,みたいだ,みたいです is the polite form.,beginner
彼女は、人形みたいな、顔をしている,彼女は人形みたいな顔をしています,politeness,している,Polite form.,beginner
この部屋は、静かな、ものだ,この部屋は静かなものだ,punctuation_error,",",Unnecessary comma. This expresses a general truth or feeling.,intermediate
昔は、よく、遊んだものだ,昔はよく遊んだものだ,punctuation_error,",",Unnecessary commas. This expresses nostalgia.,beginner
彼が、時間通りに、来るものか,彼が時間通りに来るものか,punctuation_error,",",Unnecessary commas. This is a rhetorical question implying 'he will never come on time'.,intermediate
絶対に、負ける、ものか,絶対に負けるものか,punctuation_error,",",Unnecessary commas. Expresses strong determination not to lose.,beginner
お金が、欲しいばかりに、嘘をついた,お金が欲しいばかりに、嘘をつきました,politeness,ついた,Polite form.,beginner
勝ちたい、ばかりに、反則した,勝ちたいばかりに、反則しました,politeness,反則した,Polite form.,beginner
彼は、自分の、意見を、通そうとする,彼は自分の意見を通そうとします,politeness,する,Polite form.,beginner
犬が、家から、出ようとしない,犬が家から出ようとしません,politeness,しない,Polite form.,beginner
もう、寝ようとしたところに、電話が鳴った,もう寝ようとしたところに、電話が鳴りました,politeness,鳴った,Polite form.,beginner
駅に、着こうとしたら、電車が出てしまった,駅に着こうとしたら、電車が出てしまいました,politeness,しまった,Polite form.,beginner
彼は、病気であるかのように、振る舞った,彼は病気であるかのように、振る舞いました,politeness,振る舞った,Polite form.,beginner
何も、見なかったかのように、彼は言った,何も見なかったかのように、彼は言いました,politeness,言った,Polite form.,beginner
田中さんさえ、知らない,田中さんさえ知りません,politeness,知らない,Polite form.,beginner
ひらがなさえ、書けない,ひらがなさえ書けません,politeness,書けない,Polite form.,beginner
雨さえ、降らなければ、行ける,雨さえ降らなければ、行けます,politeness,行ける,Polite form.,beginner
君さえ、いれば、いい,君さえいれば、いいです,politeness,いい,Polite form.,beginner
薬を、飲みさえすれば、治る,薬を飲みさえすれば、治ります,politeness,治る,Polite form.,beginner
あなたは、謝りさえすれば、いい,あなたは謝りさえすれば、いいです,politeness,いい,Polite form.,beginner
この問題は、子供でさえ、分かる,この問題は子供でさえ、分かります,politeness,分かる,Polite form.,beginner
彼は、挨拶さえ、しない,彼は挨拶さえしません,politeness,しない,Polite form.,beginner
あの人は、誰だっけ,あの方は、どなたでしたでしょうか,politeness,誰だっけ,A very polite and formal way to ask who someone is when you've forgotten.,advanced
明日、雨だったっけ,明日は雨でしたでしょうか,politeness,だったっけ,A polite way to confirm if you remember correctly.,intermediate
鍵、どこに、置いたっけ,鍵はどこに置きましたでしょうか,politeness,置いたっけ,Polite way to ask oneself where they put something.,intermediate
宿題、やったっけ,宿題はやりましたでしょうか,politeness,やったっけ,Polite form.,intermediate
彼は、来るだろうと思う,彼は来るだろうと思います,politeness,思う,Polite form.,beginner
明日は、晴れるだろう,明日は晴れるでしょう,politeness,だろう,でしょう is the polite form of だろう.,beginner
たぶん、大丈夫だろう,たぶん、大丈夫でしょう,politeness,だろう,Polite form.,beginner
彼は、金持ちかもしれない,彼は金持ちかもしれません,politeness,ない,Polite form.,beginner
それは、嘘かもしれない,それは嘘かもしれません,politeness,ない,Polite form.,beginner
もしかしたら、彼は、来ないかもしれない,もしかしたら、彼は来ないかもしれません,politeness,ない,Polite form.,beginner
山田さんは、パーティーに、来るかな,山田さんはパーティーに来るでしょうか,politeness,かな,でしょうか is the polite equivalent of the self-questioning かな.,intermediate
この電車は、間に合うかな,この電車は間に合うでしょうか,politeness,かな,Polite form.,intermediate
明日は、晴れるといいな,明日は晴れるといいですね,politeness,な,ですね makes the wish more conversational and polite.,beginner
合格すると、いいなあ,合格するといいですね,politeness,なあ,Polite form.,beginner
もっと、時間があれば、よかったのに,もっと時間があれば、よかったですのに,politeness,よかったのに,Polite form. のに expresses regret.,intermediate
彼が、助けてくれたら、よかったのに,彼が助けてくれたら、よかったですのに,politeness,よかったのに,Polite form.,intermediate
早く、寝ればよかった,早く寝ればよかったです,politeness,よかった,"Polite form, expressing regret.",beginner
パーティーに、行けばよかった,パーティーに行けばよかったです,politeness,よかった,Polite form.,beginner
しまった、忘れてた,しまった、忘れていました,politeness,忘れてた,忘れていました is the polite past progressive.,beginner
彼は、もう、帰ってしまった,彼はもう帰ってしまいました,politeness,しまった,Polite form.,beginner
電車に、乗り遅れてしまった,電車に乗り遅れてしまいました,politeness,しまった,Polite form.,beginner
食べないと、いけない,食べないといけません,politeness,いけない,いけません is the polite form.,beginner
早く、行かないと,早く行かないと（いけません）,politeness,行かないと,"The ending is often omitted in speech, but the full form is polite.",beginner
勉強しなくちゃ,勉強しなくてはなりません,politeness,しなくちゃ,しなくてはなりません is the formal equivalent of the colloquial しなくちゃ.,intermediate
宿題を、やらなきゃ,宿題をやらなければなりません,politeness,やらなきゃ,やらなければなりません is the formal equivalent.,intermediate
彼は、天才に相違ない,彼は天才に相違ありません,politeness,ない,相違ありません is a very formal way to say 'there is no doubt'.,advanced
これは、本物に相違ない,これは本物に相違ありません,politeness,ない,Polite form.,advanced
信じがたい、話だ,信じがたい話です,politeness,だ,Polite form.,beginner
彼の行動は、理解しがたい,彼の行動は理解しがたいです,politeness,しがたい,Polite form.,beginner
雨が、降りそうもない,雨が降りそうもありません,politeness,ない,Polite form.,beginner
彼は、来そうもない,彼は来そうもありません,politeness,ない,Polite form.,beginner
食べきれない,食べきれません,politeness,きれない,Polite form for the potential negative of 〜きる (to do completely).,beginner
こんなに、たくさん、覚えられない,こんなにたくさん、覚えられません,politeness,られない,Polite form of the potential verb.,beginner
足が痛くて、歩けない,足が痛くて、歩けません,politeness,歩けない,Polite form.,beginner
忙しくて、遊ぶどころじゃない,忙しくて、遊ぶどころじゃありません,politeness,じゃない,Polite form.,beginner
彼は、学生の、ふりをしている,彼は学生のふりをしています,politeness,している,Polite form.,beginner
知っている、ふりをした,知っているふりをしました,politeness,した,Polite form.,beginner
寝た、ふりをした,寝たふりをしました,politeness,した,Polite form.,beginner
彼は、日本人にしては、背が高い,彼は日本人にしては、背が高いです,politeness,高い,Polite form.,beginner
初めてにしては、上手だ,初めてにしては、上手です,politeness,だ,Polite form.,beginner
子供にしては、よく知っている,子供にしては、よく知っています,politeness,知っている,Polite form.,beginner
彼にしたら、簡単だろう,彼にしたら、簡単でしょう,politeness,だろう,Polite form.,beginner
親にすれば、心配なのだろう,親にすれば、心配なのでしょう,politeness,だろう,Polite form.,beginner
雪が、降るはずだ,雪が降るはずです,politeness,だ,Polite form.,beginner
彼は、来るはずだったのに、来なかった,彼は来るはずだったのに、来ませんでした,politeness,来なかった,Polite form.,beginner
おかしいはずだ,おかしなはずです,grammar,おかしい,おかしなはず is a more natural phrasing than おかしいはず. Polite form.,intermediate
きれいなはずだ,きれいなはずです,politeness,だ,Polite form.,beginner
彼は、独身の、はずがない,彼は独身のはずがありません,politeness,ない,Polite form.,beginner
彼が、知らない、はずがない,彼が知らないはずがありません,politeness,ない,Polite form.,beginner
先生である、以上、学生の安全を守るべきだ,先生である以上、学生の安全を守るべきです,politeness,べきだ,Polite form.,intermediate
約束した、以上、守らなければならない,約束した以上、守らなければなりません,politeness,ならない,Polite form.,intermediate
試験を、受ける上は、勉強が必要だ,試験を受ける上は、勉強が必要です,politeness,だ,Polite form. 上は is a formal expression for 'since/now that'.,advanced
日本に来た、からには、富士山に登りたい,日本に来たからには、富士山に登りたいです,politeness,たい,Polite form.,intermediate
やると、言ったからには、やるべきだ,やると言ったからには、やるべきです,politeness,べきだ,Polite form.,intermediate
彼は、努力家であるだけに、結果が残念だ,彼は努力家であるだけに、結果が残念です,politeness,だ,Polite form.,intermediate
期待していた、だけに、がっかりした,期待していただけに、がっかりしました,politeness,した,Polite form.,intermediate
このレストランは、高いだけあって、おいしい,このレストランは高いだけあって、おいしいです,politeness,おいしい,Polite form.,intermediate
彼は、スポーツマンなだけあって、体格がいい,彼はスポーツマンなだけあって、体格がいいです,politeness,いい,Polite form.,intermediate
嬉しいことに、試験に合格した,嬉しいことに、試験に合格しました,politeness,した,Polite form.,beginner
驚いたことに、彼が犯人だった,驚いたことに、彼が犯人でした,politeness,だった,Polite form.,beginner
残念なことに、雨で中止になった,残念なことに、雨で中止になりました,politeness,なった,Polite form.,beginner
言うまでもなく、彼は天才だ,言うまでもなく、彼は天才です,politeness,だ,Polite form.,beginner
彼は、英語はもとより、フランス語も話せる,彼は英語はもとより、フランス語も話せます,politeness,話せる,Polite form.,intermediate
この店は、味はともかく、サービスが悪い,この店は味はともかく、サービスが悪いです,politeness,悪い,Polite form.,intermediate
冗談は、さておき、本題に入ろう,冗談はさておき、本題に入りましょう,politeness,入ろう,ましょう is the polite volitional form.,intermediate
彼は、仕事は、できるが、性格が悪い,彼は仕事はできますが、性格が悪いです,politeness,できるが、悪い,Polite form.,beginner
まだ、決まったわけではない,まだ決まったわけではありません,politeness,ない,Polite form.,beginner
全員が、参加するわけではない,全員が参加するわけではありません,politeness,ない,Polite form.,beginner
彼の気持ちが、分からないでもない,彼の気持ちが分からないでもありません,politeness,ない,"Polite form. This is a double negative, meaning 'I can somewhat understand'.",intermediate
できなくはないが、難しい,できなくはありませんが、難しいです,politeness,ないが、難しい,Polite form.,intermediate
山田さんをおいて、他に、適任者はいない,山田さんをおいて、他に敵任者はいません,politeness,いない,Polite form.,intermediate
彼ならではの、発想だ,彼ならではの発想です,politeness,だ,Polite form.,intermediate
京都ならではの、景色,京都ならではの景色,punctuation_error,",",No comma needed.,beginner
初心者でも、簡単だ,初心者でも簡単です,politeness,だ,Polite form.,beginner
雨にもかかわらず、来た,雨にもかかわらず、来ました,politeness,来た,Polite form.,beginner
見るに見かねて、助けた,見るに見かねて、助けました,politeness,助けた,Polite form.,intermediate
彼は、来るそうで、待っている,彼は来るそうなので、待っています,grammar,そうで,そうで is for appearance. そうなので provides a reason based on hearsay. Polite form is also used.,advanced
今日は、寒そうだから、コートを着ていく,今日は寒そうだから、コートを着ていきます,politeness,いく,Polite form.,beginner
彼は、嬉しそうに、笑った,彼は嬉しそうに、笑いました,politeness,笑った,Polite form.,beginner
このケーキは、美味しそう,このケーキは美味しそうです,politeness,そう,Polite form.,beginner
彼は、お金が、なさそうだ,彼はお金がなさそうです,politeness,だ,Polite form.,beginner
この問題は、難しそうだ,この問題は難しそうです,politeness,だ,Polite form.,beginner
彼は、元気な、ようだ,彼は元気なようです,politeness,だ,Polite form.,beginner
彼は、昨日、寝ていないかのようだ,彼は昨日、寝ていないかのようです,politeness,だ,Polite form.,beginner
東京の、ような、大都市,東京のような大都市,punctuation_error,",",No comma needed.,beginner
天使のように、可愛い,天使のように可愛いです,politeness,可愛い,Polite form.,beginner
彼のように、なりたい,彼のようになりたいです,politeness,たい,Polite form.,beginner
